Time,load,ext
sec,lbs,in
2.4599998,25.285482,0.004188977
2.470000029,26.916803,0.00419685
2.479999781,27.732462,0.004204724
2.49000001,26.101141,0.004216536
2.499999762,28.548124,0.00422441
2.50999999,26.916803,0.00423622
2.519999743,28.548124,0.004244095
2.529999971,29.363785,0.004251969
2.5400002,28.548124,0.004259842
2.549999952,30.179445,0.004271654
2.560000181,29.363785,0.004279527
2.569999933,30.995106,0.004287402
2.580000162,30.995106,0.004295276
2.589999914,30.179445,0.00430315
2.600000143,31.810768,0.004311024
2.609999895,30.995106,0.004318898
2.620000124,31.810768,0.004326772
2.629999876,32.626427,0.004334646
2.640000105,30.995106,0.00434252
2.649999857,33.44209,0.004350394
2.660000086,31.810768,0.004358268
2.669999838,33.44209,0.004366142
2.680000067,34.257748,0.004374016
2.689999819,32.626427,0.00438189
2.700000048,35.07341,0.004389764
2.7099998,33.44209,0.004397638
2.720000029,35.07341,0.004405512
2.729999781,35.889072,0.004413386
2.74000001,35.07341,0.00442126
2.749999762,36.70473,0.004429134
2.75999999,35.889072,0.004437008
2.769999743,36.70473,0.004448819
2.779999971,38.336052,0.004456693
2.7900002,36.70473,0.004464567
2.799999952,39.151714,0.004476378
2.810000181,38.336052,0.004484252
2.819999933,39.151714,0.004492126
2.830000162,40.783035,0.0045
2.839999914,38.336052,0.004511811
2.850000143,40.783035,0.004519685
2.859999895,39.151714,0.004527559
2.870000124,40.783035,0.004535433
2.879999876,41.598698,0.004543307
2.890000105,40.783035,0.004551181
2.899999857,43.230015,0.004559055
2.910000086,41.598698,0.004566929
2.919999838,42.414352,0.004574803
2.930000067,43.230015,0.004582677
2.939999819,41.598698,0.004590551
2.950000048,44.045677,0.004598425
2.9599998,43.230015,0.0046063
2.970000029,44.86134,0.004614173
2.979999781,44.86134,0.004622047
2.99000001,44.045677,0.004629921
2.999999762,46.492657,0.004637796
3.00999999,44.045677,0.004645669
3.019999743,46.492657,0.004653543
3.029999971,46.492657,0.004661418
3.0400002,44.86134,0.004673229
3.049999952,48.12398,0.004681103
3.060000181,47.30832,0.004688976
3.069999933,48.12398,0.00469685
3.080000162,48.93964,0.004708662
3.089999914,47.30832,0.004716536
3.100000143,49.755302,0.004724409
3.109999895,48.12398,0.004736221
3.120000124,49.755302,0.004744095
3.129999876,50.570965,0.004751969
3.140000105,49.755302,0.004759843
3.149999857,52.202282,0.004767716
3.160000086,50.570965,0.004779527
3.169999838,52.202282,0.004787402
3.180000067,52.202282,0.004795276
3.189999819,51.386623,0.004807087
3.200000048,54.64927,0.004814961
3.2099998,52.202282,0.004822835
3.220000029,53.833607,0.004830709
3.229999781,54.64927,0.004838583
3.24000001,53.833607,0.00484252
3.249999762,56.280586,0.004850394
3.25999999,54.64927,0.004858268
3.269999743,55.464924,0.004866142
3.279999971,56.280586,0.004874016
3.2900002,55.464924,0.00488189
3.299999952,57.91191,0.004889764
3.310000181,56.280586,0.004897638
3.319999933,57.91191,0.004909449
3.330000162,58.72757,0.004917323
3.339999914,57.09625,0.004925197
3.350000143,60.35889,0.004937008
3.359999895,58.72757,0.004944882
3.370000124,60.35889,0.004952756
3.379999876,61.174553,0.004964567
3.390000105,60.35889,0.004972441
3.399999857,62.805874,0.004980315
3.410000086,61.174553,0.004988189
3.419999838,61.99021,0.005
3.430000067,63.621536,0.005007874
3.439999819,62.805874,0.005015748
3.450000048,64.437195,0.005023622
3.4599998,63.621536,0.005031496
3.470000029,64.437195,0.00503937
3.479999781,65.25285,0.005047244
3.49000001,64.437195,0.005055118
3.499999762,66.06851,0.005059056
3.50999999,65.25285,0.005066929
3.519999743,66.06851,0.005074803
3.529999971,67.69984,0.005082677
3.5400002,66.06851,0.005090551
3.549999952,67.69984,0.005098425
3.560000181,66.88418,0.005106299
3.569999933,68.515495,0.005114173
3.580000162,69.33116,0.005122047
3.589999914,68.515495,0.005129921
3.600000143,71.778145,0.005137796
3.609999895,69.33116,0.005145669
3.620000124,70.96248,0.00515748
3.629999876,70.96248,0.005165354
3.640000105,70.96248,0.005173228
3.649999857,74.22513,0.005185039
3.660000086,71.778145,0.005192914
3.669999838,73.40946,0.005204725
3.680000067,74.22513,0.005212599
3.689999819,73.40946,0.005220473
3.700000048,75.85644,0.005228347
3.7099998,74.22513,0.00523622
3.720000029,75.85644,0.005244094
3.729999781,76.672104,0.005251968
3.74000001,75.04078,0.00526378
3.749999762,78.30343,0.005271654
3.75999999,75.85644,0.005275591
3.769999743,77.48776,0.005287402
3.779999971,79.11909,0.005291339
3.7900002,77.48776,0.005299213
3.799999952,80.75041,0.005307086
3.810000181,78.30343,0.005314961
3.819999933,79.934746,0.005322835
3.830000162,80.75041,0.005330709
3.839999914,79.934746,0.005338583
3.850000143,82.38173,0.005346457
3.859999895,80.75041,0.005354331
3.870000124,82.38173,0.005362205
3.879999876,83.197395,0.005374016
3.890000105,81.56607,0.00538189
3.899999857,84.01305,0.005389764
3.910000086,82.38173,0.005401575
3.919999838,84.01305,0.005409449
3.930000067,85.64437,0.005417323
3.939999819,84.01305,0.005429134
3.950000048,87.275696,0.005437008
3.9599998,84.828705,0.005444882
3.970000029,86.46003,0.005452756
3.979999781,88.091354,0.00546063
3.99000001,86.46003,0.005468504
3.999999762,88.90701,0.005476378
4.00999999,88.091354,0.005484252
4.019999743,88.90701,0.005492126
4.029999971,89.72268,0.005503937
4.0400002,88.90701,0.005511812
4.049999952,91.354,0.005519685
4.060000181,90.53834,0.005527559
4.069999933,91.354,0.005535433
4.080000162,92.16966,0.005543307
4.089999914,91.354,0.005551181
4.100000143,93.80098,0.005555118
4.109999895,92.98531,0.005562992
4.120000124,94.61664,0.005570866
4.129999876,94.61664,0.005578741
4.140000105,93.80098,0.005586614
4.149999857,97.06362,0.005594488
4.160000086,94.61664,0.005606299
4.169999838,96.24796,0.005614173
4.180000067,97.87928,0.005622047
4.189999819,96.24796,0.005633859
4.200000048,99.510605,0.005641732
4.2099998,97.87928,0.005653543
4.220000029,99.510605,0.005661418
4.229999781,100.32627,0.005669292
4.24000001,99.510605,0.005681102
4.249999762,101.14193,0.005688976
4.25999999,100.32627,0.00569685
4.269999743,101.95758,0.005704724
4.279999971,102.77325,0.005712599
4.2900002,101.95758,0.005720472
4.299999952,104.404564,0.005728347
4.310000181,102.77325,0.005740158
4.319999933,104.404564,0.005744095
4.330000162,105.22023,0.005751969
4.339999914,103.588905,0.005759842
4.350000143,106.85155,0.005767717
4.359999895,106.03589,0.00577559
4.370000124,106.85155,0.005783465
4.379999876,107.66721,0.005791339
4.390000105,106.85155,0.005799213
4.399999857,109.29854,0.00580315
4.410000086,107.66721,0.005811024
4.419999838,108.48287,0.005818898
4.430000067,110.92985,0.005830709
4.439999819,109.29854,0.005838582
4.450000048,111.745514,0.005846457
4.4599998,110.92985,0.005854331
4.470000029,112.56117,0.005866142
4.479999781,114.1925,0.005874016
4.49000001,112.56117,0.005885827
4.499999762,114.1925,0.005893701
4.50999999,113.37683,0.005901575
4.519999743,115.82382,0.005909449
4.529999971,116.63948,0.00592126
4.5400002,115.008156,0.005929134
4.549999952,117.45514,0.005937008
4.560000181,116.63948,0.005944882
4.569999933,118.270805,0.005952756
4.580000162,119.08646,0.00596063
4.589999914,117.45514,0.005968504
4.600000143,120.71778,0.005976379
4.609999895,119.08646,0.005984252
4.620000124,119.902115,0.005992126
4.629999876,121.53344,0.006
4.640000105,120.71778,0.006007874
4.649999857,123.164764,0.006011811
4.660000086,121.53344,0.006019685
4.669999838,123.164764,0.006027559
4.680000067,123.98042,0.006035433
4.689999819,123.164764,0.006043308
4.700000048,125.61175,0.006051181
4.7099998,123.98042,0.006059055
4.720000029,126.42741,0.006070866
4.729999781,127.24307,0.00607874
4.74000001,125.61175,0.006086614
4.749999762,128.87439,0.006098426
4.75999999,127.24307,0.006106299
4.769999743,128.05873,0.006114174
4.779999971,130.5057,0.006125985
4.7900002,128.87439,0.006133858
4.799999952,132.13702,0.006141732
4.810000181,131.32138,0.006149606
4.819999933,131.32138,0.00615748
4.830000162,132.95268,0.006169291
4.839999914,131.32138,0.006177166
4.850000143,134.58401,0.006185039
4.859999895,132.95268,0.006192914
4.870000124,134.58401,0.006200788
4.879999876,135.39967,0.006208661
4.890000105,134.58401,0.006216535
4.899999857,137.84666,0.006224409
4.910000086,135.39967,0.006232284
4.919999838,137.03099,0.006240157
4.930000067,138.66232,0.006248032
4.939999819,137.03099,0.006255906
4.950000048,139.47798,0.00626378
4.9599998,138.66232,0.006271654
4.970000029,139.47798,0.006279528
4.979999781,141.10931,0.006287402
4.99000001,140.29364,0.006295275
4.999999762,142.74062,0.00630315
5.00999999,141.10931,0.006311024
5.019999743,142.74062,0.006322835
5.029999971,143.55629,0.006330709
5.0400002,142.74062,0.00634252
5.049999952,146.00327,0.006350394
5.060000181,145.1876,0.006362204
5.069999933,146.00327,0.006370079
5.080000162,147.63458,0.00638189
5.089999914,146.81892,0.006389764
5.100000143,149.2659,0.006397638
5.110000372,147.63458,0.006409449
5.119999647,149.2659,0.006417323
5.129999876,150.89723,0.006425197
5.140000105,149.2659,0.006433071
5.150000334,152.52855,0.006440945
5.159999609,150.89723,0.006448819
5.169999838,152.52855,0.006456693
5.180000067,152.52855,0.00646063
5.190000296,151.71288,0.006468504
5.199999571,154.15987,0.006476378
5.2099998,153.34421,0.006484252
5.220000029,154.97552,0.006492126
5.230000257,154.97552,0.0065
5.239999533,154.15987,0.006507875
5.249999762,157.42252,0.006515748
5.25999999,155.7912,0.006523622
5.270000219,157.42252,0.006531496
5.279999495,158.23817,0.006543307
